Country;Area in square miles;Area in square kilometres;Total area rank
Russia;6592850;17075400;1
Canada;3855103;9984670;2
United States;3797173;9834633;3
China;3696118;9572900;4
Brazil;3282907;8502728;5
Australia;2968402;7688126;6
India;1269299;3287469;7
Argentina;1077919;2791810;8
Kazakhstan;1052090;2724900;9
Algeria;919595;2381741;10
Democratic Republic of the Congo;905410;2345000;11
Greenland;836331;2166086;12
Saudi Arabia;829996;2149690;13
Mexico;758450;1964375;14
Indonesia;740122;1916907;15
Sudan;710693;1840687;16
Libya;647184;1676198;17
Iran;629674;1630848;18
Mongolia;603957;1564241;19
Peru;496171;1285082;20
Chad;495755;1284000;21
Niger;489191;1267000;22
Angola;481351;1246700;23
Mali;479245;1241238;24
South Africa;471359;1220813;25
Colombia;440531;1140970;26
Ethiopia;432432;1120000;27
Bolivia;424163;1098581;28
Mauritania;397956;1030700;29
Egypt;384791;996603;30
Tanzania;365060;945500;31
Nigeria;356669;923768;32
Venezuela;353841;916445;33
Namibia;318259;824292;34
Mozambique;308642;799380;35
Pakistan;307374;796096;36
Turkey;297146;769604;37
Chile;291930;756096;38
Zambia;290585;752612;39
Myanmar;261219;676553;40
Afghanistan;252072;652864;41
South Sudan;248777;644329;42
Somalia;246200;637657;43
Central African Republic;240323;622436;44
Ukraine;233032;603549;45
Madagascar;228531;591896;46
Kenya;224961;582646;47
Botswana;224606;581730;48
France2;210017;543941;49
Thailand;198117;513120;50
Spain;195361;505983;51
Turkmenistan;189657;491210;52
Cameroon;179943;466050;53
Papua New Guinea;178355;461937;54
Yemen;175677;455000;55
Uzbekistan;173349;448971;56
Sweden;172752;447425;57
Iraq;167975;435052;58
Morocco3;158300;410000;59
Paraguay;157048;406752;60
Zimbabwe;150872;390757;61
Norway4;148449;384483;62
Japan;145936;377974;63
Germany;138066;357592;64
Republic of the Congo;132047;342000;65
Finland;130684;338472;66
Côte d’Ivoire;128364;332462;67
Vietnam;127932;331344;68
Malaysia;127572;330411;69
Poland;120423;311895;70
Oman;119499;309500;71
Italy;116629;302068;72
Philippines;114145;295633;73
Western Sahara;105020;272000;74
Burkina Faso;104542;270764;75
Gabon;103347;267667;76
New Zealand;102587;265700;77
Ecuador;99112;256700;78
Guinea;94926;245857;79
United Kingdom;93630;242500;80
Uganda;93265;241555;81
Ghana;92098;238533;82
Romania;92046;238398;83
Laos;91429;236800;84
Guyana;83012;214999;85
Belarus;80165;207628;86
Kyrgyzstan;77199;199945;87
Senegal;75951;196712;88
Uruguay;74655;193356;89
Syria;71498;185180;90
Cambodia;69898;181035;91
Suriname;63251;163820;92
Tunisia;63170;163610;93
Bangladesh5;56977;147570;94
Nepal;56827;147181;95
Tajikistan;54595;141400;96
Greece;50984;132049;97
Nicaragua;50337;130373;98
North Korea;47573;123214;99
Eritrea;46757;121100;100
Malawi;45853;118760;101
Benin;44310;114763;102
Honduras;43433;112492;103
Bulgaria;42871;111036;104
Cuba;42426;109884;105
Guatemala;42042;108889;106
Iceland;39769;103000;107
South Korea;38696;100222;108
Liberia;37466;97036;109
Hungary;35917;93025;110
Portugal;35608;92225;111
Jordan;34486;89318;112
Azerbaijan;33436;86600;113
Austria;32387;83883;114
French Guiana;32373;83846;115
Czech Republic;30452;78871;116
Serbia6;29957;77589;117
Panama;29081;75320;118
Sierra Leone;27699;71740;119
United Arab Emirates;27423;71024;120
Georgia7;26911;69700;121
Ireland;26435;68466;122
Sri Lanka;25332;65610;123
Lithuania;25207;65286;124
Latvia;24940;64594;125
Togo;21853;56600;126
Croatia;21851;56594;127
Bosnia and Herzegovina;19772;51209;128
Costa Rica;19730;51100;129
Slovakia;18932;49034;130
Dominican Republic;18619;48223;131
Estonia;17505;45339;132
Denmark;16578;42838;133
Netherlands;16040;41543;134
Switzerland;15943;41291;135
Bhutan;14824;38394;136
Taiwan;13976;36197;137
Guinea-Bissau;13948;36125;138
Moldova;13067;33843;139
Belgium;11787;30528;140
Solomon Islands;11740;30407;141
Lesotho;11720;30355;142
Armenia;11483;29743;143
Albania;11082;28703;144
Equatorial Guinea;10831;28052;145
Burundi;10747;27834;146
Haiti;10450;27065;147
Rwanda;10169;26338;148
North Macedonia;9821;25436;149
Djibouti;8880;23000;150
Belize;8867;22966;151
Israel8;8522;22072;152
El Salvador;8124;21041;153
Slovenia;7827;20271;154
New Caledonia;7169;18567;155
Fiji;7055;18272;156
Kuwait;6880;17818;157
Eswatini;6704;17364;158
East Timor;5774;14954;159
The Bahamas;5382;13939;160
Montenegro;5360;13883;161
Vanuatu;4707;12190;162
Qatar;4489;11627;163
Jamaica;4244;10991;164
Kosovo;4210;10905;165
The Gambia;4127;10689;166
Lebanon;4036;10452;167
Cyprus9;3572;9251;168
Puerto Rico;3435;8897;169
Brunei;2226;5765;170
West Bank10;2183;5655;171
Trinidad and Tobago;1980;5128;172
Cabo Verde (Cape Verde);1557;4033;173
French Polynesia;1359;3521;174
Samoa;1093;2830;175
Luxembourg;998;2586;176
Réunion;970;2512;177
Mauritius;775;2007;178
Comoros;719;1861;179
Guadeloupe11;629;1628;180
Faroe Islands;539;1396;181
Martinique;436;1128;182
Hong Kong;430;1114;183
Sao Tome and Principe;386;1001;184
Kiribati;313;811;185
Bahrain;301;778;186
Dominica;290;751;187
Singapore;272;704;188
Micronesia;271;701;189
Tonga;251;650;190
Saint Lucia;238;616;191
Isle of Man;221;572;192
Guam;217;561;193
Palau;189;490;194
Northern Mariana Islands;182;472;195
Andorra;181;468;196
Seychelles;172;446;197
Curaçao12;171;444;198
Antigua and Barbuda;171;442;199
Barbados;166;430;200
Saint Vincent and the Grenadines;150;389;201
Mayotte;145;375;202
Gaza Strip;141;365;203
United States Virgin Islands;134;348;204
Grenada;133;344;205
Malta;122;316;206
Maldives;115;298;207
Cayman Islands;102;264;208
Saint Kitts and Nevis;102;263;209
American Samoa;77;199;210
Marshall Islands;70;181;211
Aruba;70;180;212
Liechtenstein;62;160;213
Jersey;46;120;214
Guernsey;30;78;215
San Marino;24;61;216
Bermuda;21;54;217
Sint Maarten;13;34;218
Macau;13;33;219
Tuvalu;10;26;220
Nauru;8;21;221
Monaco;0.8;2.1;222
Vatican City;0.17;0.44;223
